year,smoothed_anoms1,smoothed_anoms2
1850,-0.253,
1851,-0.27,
1852,-0.28,
1853,-0.278,
1854,-0.274,
1855,-0.248,
1856,-0.19,
1857,-0.093,
1858,-0.034,
1859,0.01,
1860,0.029,
1861,0.004,
1862,-0.007,
1863,-0.016,
1864,-0.018,
1865,-0.014,
1866,-0.022,
1867,-0.067,
1868,-0.126,
1869,-0.169,
1870,-0.189,
1871,-0.202,
1872,-0.216,
1873,-0.178,
1874,-0.113,
1875,-0.077,
1876,-0.074,
1877,-0.095,
1878,-0.15,
1879,-0.202,
1880,-0.248,
1881,-0.281,
1882,-0.327,
1883,-0.396,
1884,-0.497,
1885,-0.614,
1886,-0.731,
1887,-0.824,
1888,-0.886,
1889,-0.902,
1890,-0.836,
1891,-0.71,
1892,-0.611,
1893,-0.533,
1894,-0.417,
1895,-0.253,
1896,-0.105,
1897,-0.021,
1898,0.014,
1899,0.005,
1900,-0.043,-0.043
1901,,-0.127
1902,,-0.226
1903,,-0.292
1904,,-0.314
1905,,-0.309
1906,,-0.321
1907,,-0.321
1908,,-0.27
1909,,-0.194
1910,,-0.106
1911,,-0.003
1912,,0.068
1913,,0.072
1914,,-0.014
1915,,-0.134
1916,,-0.251
1917,,-0.333
1918,,-0.361
1919,,-0.371
1920,,-0.373
1921,,-0.349
1922,,-0.326
1923,,-0.292
1924,,-0.267
1925,,-0.205
1926,,-0.149
1927,,-0.116
1928,,-0.114
1929,,-0.119
1930,,-0.101
1931,,-0.038
1932,,0.03
1933,,0.084
1934,,0.134
1935,,0.194
1936,,0.208
1937,,0.14
1938,,0.03
1939,,-0.055
1940,,-0.084
1941,,-0.086
1942,,-0.05
1943,,0.019
1944,,0.126
1945,,0.249
1946,,0.35
1947,,0.372
1948,,0.334
1949,,0.275
1950,,0.232
1951,,0.158
1952,,0.037
1953,,-0.068
1954,,-0.076
1955,,-0.026
1956,,0.053
1957,,0.137
1958,,0.233
1959,,0.265
1960,,0.177
1961,,0.052
1962,,-0.055
1963,,-0.155
1964,,-0.22
1965,,-0.217
1966,,-0.127
1967,,-0.041
1968,,0.017
1969,,0.049
1970,,0.054
1971,,0.072
1972,,0.126
1973,,0.187
1974,,0.217
1975,,0.204
1976,,0.155
1977,,0.082
1978,,0.009
1979,,-0.031
1980,,-0.008
1981,,0.053
1982,,0.087
1983,,0.065
1984,,0.018
1985,,-0.001
1986,,0.016
1987,,0.114
1988,,0.226
1989,,0.35
1990,,0.472
1991,,0.578
1992,,0.619
1993,,0.626
1994,,0.681
1995,,0.776
1996,,0.879
1997,,0.944
1998,,0.955
1999,,0.973
2000,,1.018
2001,,1.048
2002,,1.068
2003,,1.108
2004,,1.161
2005,,1.173
2006,,1.125
2007,,1.054
2008,,0.998
2009,,0.917
2010,,0.824
2011,,0.81
2012,,0.867
2013,,0.94
2014,,1.029
2015,,1.124
2016,,1.219
2017,,1.309
2018,,1.395
